study	unique_study_id	file	chr	bp	min_p	cis_trans	ld_block	known_gene
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_8444361_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_8444361_1.tsv.gz	1	9280979	4.7484638786771454e-23	NA	EUR/1/7451118-9307591	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_8444361_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_8444361_2.tsv.gz	1	8420956	1.4396722339653466e-28	NA	EUR/1/7451118-9307591	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_9651584_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_9651584_1.tsv.gz	1	9650501	6.722985008607754e-28	NA	EUR/1/9307591-11764185	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_23520972_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_23520972_1.tsv.gz	1	23869911	8.159986553247428e-23	NA	EUR/1/22858108-24201011	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_23520972_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_23520972_3.tsv.gz	1	23507107	6.759470126626658e-22	NA	EUR/1/22858108-24201011	NA
qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1	qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1_EUR_1_25562851_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB2:P05107:OID20315:v1/finemapped/EUR_1_25563698_1.tsv.gz	1	25562851	1.25887e-10	trans	EUR/1/24201011-28100360	ITGB2
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_41897604_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_41905116_1.tsv.gz	1	41897604	6.09958095872238e-35	NA	EUR/1/41145142-42450056	NA
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_1_43666403_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_1_43666403_1.tsv.gz	1	43666403	9.462420000000001e-121	trans	EUR/1/42450056-43828739	ITGB7
qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1	qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1_EUR_1_43829375_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/qtl-subset-ukb-ppp-european-ITGB7:P26010:OID21393:v1/finemapped/EUR_1_43828739_1.tsv.gz	1	43829375	2.0512100000000003e-120	trans	EUR/1/43828739-46791535	ITGB7
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_64992305_2	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_64992305_2.tsv.gz	1	64980627	6.882535805138154e-22	NA	EUR/1/63206060-66308667	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_64992305_3	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_64992305_3.tsv.gz	1	64957764	9.074373540510757e-26	NA	EUR/1/63206060-66308667	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_1_72346641_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_1_72346641_1.tsv.gz	1	72284817	1.2855012403551662e-30	NA	EUR/1/70527268-74665625	NA
ebi-a-GCST90018949	ebi-a-GCST90018949_EUR_1_77984833_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90018949/finemapped/EUR_1_77984833_1.tsv.gz	1	77984833	1.771121669754215e-45	NA	EUR/1/74665625-78795698	NA
ebi-a-GCST90028992	ebi-a-GCST90028992_EUR_1_87285170_1	/local-scratch/projects/genotype-phenotype-map/test/data/study/ebi-a-GCST90028992/finemapped/EUR_1_87285987_1.tsv.gz	1	87285170	7.000031591309006e-33	NA	EUR/1/87190896-89284437	NA
